ID,QuestionnaireVersion,RawAge,Gender,Age,AgeGenCat,AgeSup,AgeGenSup,Maj.Clin,ClinCourse,Major,Etio.Bipolar,Etio.ChildD,Etio.Dep,Etio.General,Treat.AnxD,Treat.Dem,Treat.General,Treat.Schiz,Treat.Suicide,Gen.AnxD,Gen.AnxMeds.01,Gen.AnxMeds.02,Gen.EatD,Gen.General.01,Gen.General.02,Gen.SubsD,Gen.Suicide,Symp.AnxD.01,Symp.AnxD.02,Symp.Bipolar.01,Symp.Bipolar.02,Symp.ChildD,Symp.Dem,Symp.Dep,Symp.EatD,Symp.Gender,Symp.OCD,Symp.PersD.01,Symp.PersD.02,Symp.PTSD,Symp.Schiz,Symp.Sexual,Symp.SomSymD
94,A1,18,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,R,W,W,R,R,R,W,W,W,W,R,R,W,R,R,R,W,R,R,W,R,R,R,W,W,W,R,R,W,R,R,R
205,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,R,R,R,W,W,W,W,R,W,R,W,R,R,R,W,W,W,W,W,W,R,W,R,R,W,W,R,R
221,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,R,W,W,R,W,W,W,W,R,R,W,W,R,W,R,R,R,W,W,W,W,R,W,W,W,W,R,W,W,W,R
244,A1,18,Female,18-24,18-24.F,18-20,18-20.F,Psyc.NoClin,NoClin,Psyc,R,W,R,R,R,R,R,R,R,R,R,R,R,W,W,W,R,R,R,W,W,R,W,R,R,W,R,W,R,W,R,R,R
324,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,W,R,R,R,R,W,W,W,R,W,R,W,W,R,W,R,W,W,R,R,W,W,W,W,W,R,W,W,R,R
331,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,R,R,R,R,W,W,W,R,W,R,R,W,R,R,R,W,W,R,W,W,R,W,R,R,R,W,W,R,R
334,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,R,R,R,R,W,R,W,R,R,R,R,W,R,R,R,R,W,R,W,R,W,R,R,R,W,R,R,R,R
380,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,W,R,W,R,W,W,W,R,W,W,R,R,R,W,W,R,R,R,W,R,W,R,R,R,W,R,W,R,W,R,R
387,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,R,W,W,R,R,R,W,R,R,R,W,R,R,W,R,R,R,W,W,R,R,R,W,W,W,W,R,R,R,R,R
403,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,W,W,W,W,R,R,R,R,W,W,R,W,W,W,R,R,R,W,R,W,W,R,R,W,R,R,W,R,R,W,W,W,W
458,A1,18,Female,18-24,18-24.F,18-20,18-20.F,Psyc.Clin,Clin,Psyc,R,W,W,W,W,R,W,R,W,W,R,R,W,W,R,W,R,W,R,R,W,W,R,R,R,R,W,R,R,W,W,W,R
460,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,R,R,R,R,R,R,R,R,W,R,R,W,R,W,W,R,R,R,W,W,W,W,R,W,W,W,W,W,W,W,W,R
488,A1,18,Female,18-24,18-24.F,18-20,18-20.F,NonPsyc.NoClin,NoClin,NonPsyc,R,W,W,W,W,R,R,W,R,R,R,W,W,W,R,R,R,R,R,W,W,W,W,W,W,W,W,W,R,R,W,R,R
